 public | order_orderdiscount                                | table | vagrant
 public | order_ordernote                                    | table | vagrant
 public | order_paymentevent                                 | table | vagrant
 public | order_paymenteventquantity                         | table | vagrant
 public | order_paymenteventtype                             | table | vagrant
 public | order_shippingaddress                              | table | vagrant
 public | order_shippingevent                                | table | vagrant
 public | order_shippingeventquantity                        | table | vagrant
 public | order_shippingeventtype                            | table | vagrant
 public | owners_owner                                       | table | vagrant
 public | owners_owneremailconfig                            | table | vagrant
 public | owners_ownerpdfreporttheme                         | table | vagrant
 public | partner_partner                                    | table | vagrant
 public | partner_partner_users                              | table | vagrant
 public | partner_partneraddress                             | table | vagrant
 public | partner_stockalert                                 | table | vagrant
 public | partner_stockrecord                                | table | vagrant
 public | payment_bankcard                                   | table | vagrant
 public | payment_source                                     | table | vagrant
 public | payment_sourcetype                                 | table | vagrant
 public | payment_transaction                                | table | vagrant
 public | promotions_automaticproductlist                    | table | vagrant
 public | promotions_handpickedproductlist                   | table | vagrant
 public | promotions_image                                   | table | vagrant
 public | promotions_keywordpromotion                        | table | vagrant
 public | promotions_multiimage                              | table | vagrant
 public | promotions_multiimage_images                       | table | vagrant
 public | promotions_orderedproduct                          | table | vagrant
 public | promotions_orderedproductlist                      | table | vagrant
 public | promotions_pagepromotion                           | table | vagrant
 public | promotions_rawhtml                                 | table | vagrant
 public | promotions_singleproduct                           | table | vagrant
 public | promotions_tabbedblock                             | table | vagrant
 public | reviews_productreview                              | table | vagrant
 public | reviews_vote                                       | table | vagrant
 public | shipping_orderanditemcharges                       | table | vagrant
 public | shipping_orderanditemcharges_countries             | table | vagrant
 public | shipping_weightband                                | table | vagrant
 public | shipping_weightbased                               | table | vagrant
 public | shipping_weightbased_countries                     | table | vagrant
 public | silk_profile                                       | table | vagrant
 public | silk_profile_queries                               | table | vagrant
 public | silk_request                                       | table | vagrant
 public | silk_response                                      | table | vagrant
 public | silk_sqlquery                                      | table | vagrant
 public | stripe_app_stripecharge                            | table | vagrant
 public | tagging_tag                                        | table | vagrant
 public | tagging_taggeditem                                 | table | vagrant
 public | thumbnail_kvstore                                  | table | vagrant
 public | url_shortener_shortenedurl                         | table | vagrant
 public | users_user                                         | table | vagrant
 public | users_user_groups                                  | table | vagrant
 public | users_user_user_permissions                        | table | vagrant
 public | voucher_voucher                                    | table | vagrant
 public | voucher_voucher_offers                             | table | vagrant
 public | voucher_voucherapplication                         | table | vagrant
 public | wishlists_line                                     | table | vagrant
 public | wishlists_wishlist                                 | table | vagrant
 public | zinnia_category                                    | table | vagrant
 public | zinnia_entry                                       | table | vagrant
 public | zinnia_entry_authors                               | table | vagrant
 public | zinnia_entry_categories                            | table | vagrant
 public | zinnia_entry_related                               | table | vagrant
 public | zinnia_entry_sites                                 | table | vagrant
(140 rows)
